query,cluster,intent,service_fit,local_pack,visible_density,notable_competitors,GBP_categories,review_strength,landing_pattern,commercial_proxy,claims_risk,evidence,evidence_level,priority
hypnotherapy Toronto,Hypnosis / Hypnotherapy,local service enquiry,issue-supported; confirm individual fit,Google Search pack unverified; Maps results observed,6 distinct visible providers + sponsored duplicate,Toronto Hypnotherapy; Consulting Hypnosis Co.; Morpheus; Elisa Reale,"Hypnotherapy service (visible labels, not complete category sets)",7–262 visible; Morpheus 41 sponsored / 42 organic,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.torontohypnotherapy.ca/services ; https://github.com/andylitvinov-design/sales/issues/2,direct Maps observation,P0
hypnosis Toronto,Hypnosis / Hypnotherapy,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.torontohypnotherapy.ca/services ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P0
hypnotherapist Toronto,Hypnosis / Hypnotherapy,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.torontohypnotherapy.ca/services ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P0
hypnotherapist near me,Hypnosis / Hypnotherapy,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.torontohypnotherapy.ca/services ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P1
hypnosis near me,Hypnosis / Hypnotherapy,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.torontohypnotherapy.ca/services ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P1
hypnotherapy downtown Toronto,Hypnosis / Hypnotherapy,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.torontohypnotherapy.ca/services ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
hypnosis consultation Toronto,Hypnosis / Hypnotherapy,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.torontohypnotherapy.ca/services ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
individual hypnosis Toronto,Hypnosis / Hypnotherapy,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.torontohypnotherapy.ca/services ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
hypnotherapy Toronto cost,Hypnosis / Hypnotherapy,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.torontohypnotherapy.ca/services ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
hypnotherapy Toronto appointment,Hypnosis / Hypnotherapy,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://www.torontohypnotherapy.ca/services ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P2
hypnosis for confidence Toronto,Problem / Goal,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://greatertorontohypnosis.com/self-confidence/ ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P0
hypnosis for self doubt Toronto,Problem / Goal,local service enquiry,issue-supported; confirm individual fit,unverified,not measured for this query,see cluster observations,unverified,unverified,individual service + enquiry CTA,explicit local service intent; no volume or revenue measured,avoid diagnosis/outcome claims; titles unverified,https://greatertorontohypnosis.com/self-confidence/ ; https://github.com/andylitvinov-design/sales/issues/2,candidate seeded by issue and cluster wording; individual SERP not verified,P1
