id,name,type,installed_version,core,joomla54_php83,action,status
227,Administrator Quix Info,Модуль,4.4.3,False,NOT VERIFIED for installed version,"Verify vendor version/license, upgrade on clone, test pages and editor before production",DEFERRED BY RISK
226,Administrator Quix Menu,Модуль,4.4.3,False,NOT VERIFIED for installed version,"Verify vendor version/license, upgrade on clone, test pages and editor before production",DEFERRED BY RISK
249,Akeeba Backup for Joomla!™,Компонент,9.8.1,False,NOT VERIFIED for installed version,"Verify vendor version/license, upgrade on clone, test pages and editor before production",DEFERRED BY RISK
251,Akeeba Backup for Joomla! package,Пакет,9.8.1,False,NOT VERIFIED for installed version,"Verify vendor version/license, upgrade on clone, test pages and editor before production",DEFERRED BY RISK
237,Atom,Шаблон,1.0.0,False,NOT VERIFIED for installed version,"Verify vendor version/license, upgrade on clone, test pages and editor before production",DEFERRED BY RISK
218,Atum,Шаблон,1.0,True,Core migration regression required,Upgrade with Joomla core in isolated staging,DEFERRED BY RISK
93,CAPTCHA - reCAPTCHA,Плагин,3.4.0,True,Core migration regression required,Upgrade with Joomla core in isolated staging,DEFERRED BY RISK
94,CAPTCHA - Невидимая reCAPTCHA,Плагин,3.8,True,Core migration regression required,Upgrade with Joomla core in isolated staging,DEFERRED BY RISK
219,Cassiopeia,Шаблон,1.0,True,Core migration regression required,Upgrade with Joomla core in isolated staging,DEFERRED BY RISK
277,Console - JCH Optimize,Плагин,8.1.1,False,NOT VERIFIED for installed version,"Verify vendor version/license, upgrade on clone, test pages and editor before production",DEFERRED BY RISK
287,Content - imagerecycle,Плагин,2.0.16,False,NOT VERIFIED for installed version,"Verify vendor version/license, upgrade on clone, test pages and editor before production",DEFERRED BY RISK
230,Content - Quix Content Plugin,Плагин,4.3.1,False,NOT VERIFIED for installed version,"Verify vendor version/license, upgrade on clone, test pages and editor before production",DEFERRED BY RISK
233,Editors Button - Quix editors-xtd Plugin,Плагин,4.4.3,False,NOT VERIFIED for installed version,"Verify vendor version/license, upgrade on clone, test pages and editor before production",DEFERRED BY RISK
